"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A→B","Bytes A→B","Packets A←B","Bytes A←B","Rel Start","Duration","bps A→B","bps A←B"
"1.1.2.3","41238","5.6.7.8","http","3","222","3","222","0","0","37.502123000","8.9967","197.41","N/A"
"1.1.2.3","41239","5.6.7.8","http","3","222","3","222","0","0","37.695892000","8.9990","197.36","N/A"
"1.1.2.3","41240","5.6.7.8","http","3","222","3","222","0","0","37.767108000","8.9957","197.43","N/A"
"1.1.2.3","41241","5.6.7.8","http","3","222","3","222","0","0","38.276168000","9.0002","197.33","N/A"
"1.1.2.3","41242","5.6.7.8","http","3","222","3","222","0","0","38.538459000","8.9979","197.38","N/A"
"1.1.2.3","41243","5.6.7.8","http","3","222","3","222","0","0","38.742275000","8.9966","197.41","N/A"
"1.1.2.3","41244","5.6.7.8","http","3","222","3","222","0","0","38.832444000","8.9984","197.37","N/A"
"1.1.2.3","41245","5.6.7.8","http","3","222","3","222","0","0","39.535065000","8.9958","197.43","N/A"
"1.1.2.3","41246","5.6.7.8","http","3","222","3","222","0","0","39.590860000","8.9960","197.42","N/A"
"1.1.2.3","41247","5.6.7.8","http","3","222","3","222","0","0","39.722814000","8.9960","197.42","N/A"
"1.1.2.3","41248","5.6.7.8","http","3","222","3","222","0","0","40.085722000","8.9971","197.40","N/A"
"1.1.2.3","41249","5.6.7.8","http","3","222","3","222","0","0","40.214264000","8.9966","197.41","N/A"
"1.1.2.3","41250","5.6.7.8","http","3","222","3","222","0","0","40.471608000","8.9952","197.44","N/A"
"1.1.2.3","41251","5.6.7.8","http","3","222","3","222","0","0","40.492832000","8.9980","197.38","N/A"
"1.1.2.3","41252","5.6.7.8","http","3","222","3","222","0","0","40.654465000","8.9964","197.41","N/A"
"1.1.2.3","41253","5.6.7.8","http","3","222","3","222","0","0","40.789257000","8.9976","197.39","N/A"
"1.1.2.3","41254","5.6.7.8","http","3","222","3","222","0","0","40.884640000","8.9982","197.37","N/A"
